trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-128.6818049283989,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-160.28970924961638,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-67.67957141496773,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-146.83183218639655,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-74.74200878808415,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-55.119395937296694,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-45.432351074031814,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-123.6705944017308,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,16,6.374627294155964,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,10,-45.37069381037441,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-117.71421715637142,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-99.3095531049588,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,12,1.1331327552028587,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-64.91001437566132,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,16,-31.218828215610873,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,5,-74.22751777750797,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-80.75921750985162,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-114.61482128788285,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,12,15.781583007823329,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,29.88692381354588,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,-54.07130989108787,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,3,28.08187212958732,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-65.02976431155203,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,14.851271480140879,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,15.676103635686857,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,4,15.177173473891354,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,9,-36.09623661085205,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,0,-87.2022477773829,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-27.79215555931506,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,9,-23.68793170943101,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
