trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.98}",30,0,-74.93680381451611,"{0: 20, 1: 4, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.4, 'e': 0.9603999999999999}",25,7,-95.70511101612591,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 1}",1
3,False,"{'a': 0.4, 'e': 0.9411919999999999}",35,0,-163.9308708037937,"{0: 25, 1: 2, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.4, 'e': 0.9223681599999999}",20,0,-49.60306445088884,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.4, 'e': 0.9039207967999999}",30,0,-138.3726158274189,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
6,False,"{'a': 0.4, 'e': 0.8858423808639999}",30,0,-241.14200933294026,"{0: 15, 1: 4, 2: 6, 3: 1, 4: 4}",0
7,False,"{'a': 0.4, 'e': 0.8681255332467199}",25,0,-243.80767989317604,"{0: 12, 1: 1, 2: 7, 3: 1, 4: 4}",0
8,False,"{'a': 0.4, 'e': 0.8507630225817855}",20,0,-71.96441038554974,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.4, 'e': 0.8337477621301498}",20,0,-57.726509650156714,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.4, 'e': 0.8170728068875467}",20,0,-8.313174322451621,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.4, 'e': 0.8007313507497958}",20,0,-38.002749384901044,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
12,False,"{'a': 0.4, 'e': 0.7847167237347998}",20,0,-157.75791806273114,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",1
13,False,"{'a': 0.4, 'e': 0.7690223892601039}",20,0,-137.27660696784747,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.4, 'e': 0.7536419414749017}",20,0,-46.83820277475776,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
15,False,"{'a': 0.4, 'e': 0.7385691026454038}",20,0,-47.19233386053079,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.4, 'e': 0.7237977205924956}",20,0,-42.84296273989132,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.4, 'e': 0.7093217661806457}",30,0,-172.67348894249147,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
18,False,"{'a': 0.4, 'e': 0.6951353308570328}",20,13,-11.749879049655384,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.4, 'e': 0.6812326242398921}",25,0,-141.2344097846656,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
