trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-219.87080285347858,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.64900156535037,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.68755232251667,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-206.3111264796538,"{0: 21, 1: 4, 2: 5, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.40555356964646,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.6919578210066,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-6.784293378859051,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-118.64622080489073,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.05964775256892,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-197.9506979118891,"{0: 7, 1: 5, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.98684369081991,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-201.3825862005907,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.68323886857725,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.835381146986602,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.23357618131385,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.98968666556965,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-188.14652796185496,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-170.3745752914726,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,0,-168.95959411870703,"{0: 23, 1: 1, 2: 7, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-224.55427156414797,"{0: 18, 1: 0, 2: 6, 3: 3, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.366658939877,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,2,-89.16502679613731,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-329.91609644397204,"{0: 10, 1: 2, 2: 3, 3: 5, 4: 5}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-211.30660197427724,"{0: 18, 1: 3, 2: 4, 3: 1, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-113.71351715856754,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-68.78254003912875,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-189.9535132366491,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.96215709759138,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.51998126312589,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-196.96121333744566,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
